Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",271412,1,110.00,604.00,"Test","Ok",0,0,0,0.35,-116.05,0.22,-0.14,127.06,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",993031,1,110.00,438.00,"Test","Ok",0,0,0,0.38,-113.20,-0.25,-0.12,130.21,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1041975,1,110.00,439.00,"Test","Ok",0,0,0,0.39,-115.39,2.00,-0.11,144.07,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",221309,1,110.00,440.00,"Test","Ok",0,0,0,0.36,-114.63,1.26,-0.15,129.91,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",234469,1,110.00,376.00,"Test","Ok",0,0,0,0.36,-117.05,1.88,-0.16,127.68,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",224123,1,110.00,375.00,"Test","Ok",0,0,0,0.35,-118.35,0.64,-0.11,136.69,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1040452,1,110.00,374.00,"Test","Ok",0,0,0,0.41,-113.69,3.48,-0.10,135.99,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",245405,1,110.00,373.00,"Test","Ok",0,0,0,0.36,-118.46,1.32,-0.13,142.93,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",44335,1,110.00,516.00,"Test","Ok",0,0,0,0.35,-116.12,0.80,-0.14,128.29,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",243240,1,110.00,515.00,"Test","Ok",0,0,0,0.37,-115.38,1.87,-0.11,147.40,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",244880,1,110.00,514.00,"Test","Ok",0,0,0,0.36,-116.32,1.89,-0.11,135.81,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",244995,1,110.00,513.00,"Test","Ok",0,0,0,0.36,-118.19,1.40,-0.08,130.00,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1034761,1,110.00,608.00,"Test","Ok",0,0,0,0.38,-113.20,4.20,-0.11,136.95,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",262453,1,110.00,607.00,"Test","Ok",0,0,0,0.36,-117.32,0.23,-0.14,143.25,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",1058932,1,110.00,606.00,"Test","Ok",0,0,0,0.38,-114.18,0.57,-0.11,132.23,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",1043410,1,110.00,605.00,"Test","Ok",0,0,0,0.40,-116.28,2.60,-0.09,131.04,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",272510,1,110.00,437.00,"Test","Ok",0,0,0,0.35,-113.75,3.37,-0.16,133.30,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1040991,1,110.00,603.00,"Test","Ok",0,0,0,0.44,-113.95,1.48,-0.13,127.95,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",223281,1,110.00,602.00,"Test","Ok",0,0,0,0.35,-116.64,0.94,-0.12,128.45,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",1043327,1,110.00,601.00,"Test","Ok",0,0,0,0.38,-115.52,1.42,-0.14,132.93,"2.5.16","08/22/2022 16:40:56 UTC+05:30",1806996,"N/A","N/A"
