Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",1039036,1,110.00,621.00,"Test","Ok",0,0,0,0.38,-115.61,0.74,-0.15,123.91,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1953556,"N/A","N/A"
"FDU_508",1706722,1,110.00,606.00,"Test","Ok",0,0,0,0.38,-115.76,0.21,-0.11,131.76,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",1709157,1,110.00,607.00,"Test","Ok",0,0,0,0.37,-117.06,-0.38,-0.11,134.66,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",1707987,1,110.00,608.00,"Test","Ok",0,0,0,0.37,-117.34,0.03,-0.11,132.14,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",50327,1,110.00,609.00,"Test","Ok",0,0,0,0.38,-116.27,0.56,-0.15,134.72,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",225341,1,110.00,610.00,"Test","Ok",0,0,0,0.34,-119.91,-0.38,-0.16,134.68,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",248410,1,110.00,611.00,"Test","Ok",0,0,0,0.36,-116.33,3.87,-0.16,145.71,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",84527,1,110.00,612.00,"Test","Ok",0,0,0,0.35,-115.21,1.71,-0.19,131.98,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",2051954,1,110.00,613.00,"Test","Ok",0,0,0,0.36,-116.17,0.99,-0.12,124.65,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",2050541,1,110.00,614.00,"Test","Ok",0,0,0,0.36,-115.40,4.46,-0.12,130.70,"2.5.16","08/23/2022 10:54:13 UTC+05:30",1807000,"N/A","N/A"
