Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",71033,1,110.00,501.00,"Test","Ok",0,0,0,0.35,-118.97,-0.20,-0.18,154.20,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",93926,1,110.00,502.00,"Test","Ok",0,0,0,0.35,-117.00,1.65,-0.18,129.23,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",70099,1,110.00,503.00,"Test","Ok",0,0,0,0.35,-116.74,-1.10,-0.18,126.63,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",97459,1,110.00,504.00,"Test","Ok",0,0,0,0.36,-116.93,0.21,-0.16,131.19,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",95216,1,110.00,505.00,"Test","Ok",0,0,0,0.35,-117.05,2.15,-0.16,121.54,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",87171,1,110.00,506.00,"Test","Ok",0,0,0,0.36,-118.32,2.05,-0.18,130.40,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",62625,1,110.00,507.00,"Test","Ok",0,0,0,0.35,-118.95,-2.09,-0.15,130.81,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",91845,1,110.00,508.00,"Test","Ok",0,0,0,0.35,-115.72,1.61,-0.17,132.13,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",243710,1,110.00,509.00,"Test","Ok",0,0,0,0.36,-116.41,2.03,-0.15,123.42,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",216978,1,110.00,510.00,"Test","Ok",0,0,0,0.36,-118.40,-0.11,-0.11,139.20,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",244679,1,110.00,511.00,"Test","Ok",0,0,0,0.36,-117.61,0.65,-0.15,136.45,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",216770,1,110.00,512.00,"Test","Ok",0,0,0,0.37,-119.08,0.50,-0.12,133.54,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",79950,1,110.00,513.00,"Test","Ok",0,0,0,0.34,-116.66,-1.83,-0.19,123.23,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",88088,1,110.00,514.00,"Test","Ok",0,0,0,0.36,-112.77,-0.10,-0.14,134.71,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",95242,1,110.00,515.00,"Test","Ok",0,0,0,0.36,-114.62,1.06,-0.15,126.38,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",88918,1,110.00,516.00,"Test","Ok",0,0,0,0.35,-115.81,-0.59,-0.16,140.44,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1042022,1,110.00,517.00,"Test","Ok",0,0,0,0.40,-116.08,2.02,-0.15,127.14,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",243750,1,110.00,518.00,"Test","Ok",0,0,0,0.36,-116.46,0.92,-0.14,130.76,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1039683,1,110.00,519.00,"Test","Ok",0,0,0,0.38,-117.71,1.38,-0.12,134.61,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1039228,1,110.00,520.00,"Test","Ok",0,0,0,0.38,-115.55,3.07,-0.16,125.32,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",219401,1,110.00,521.00,"Test","Ok",0,0,0,0.36,-115.09,-0.04,-0.12,142.34,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",233660,1,110.00,522.00,"Test","Ok",0,0,0,0.36,-117.94,2.20,-0.16,129.08,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",238620,1,110.00,523.00,"Test","Ok",0,0,0,0.35,-118.34,0.59,-0.13,131.62,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",217178,1,110.00,524.00,"Test","Ok",0,0,0,0.36,-114.03,-0.35,-0.12,130.64,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",95089,1,110.00,525.00,"Test","Ok",0,0,0,0.36,-118.14,0.18,-0.20,126.03,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",75759,1,110.00,526.00,"Test","Ok",0,0,0,0.34,-114.49,-0.78,-0.13,130.20,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",104476,1,110.00,527.00,"Test","Ok",0,0,0,0.36,-117.89,0.13,-0.14,122.86,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",83991,1,110.00,528.00,"Test","Ok",0,0,0,0.35,-117.16,0.36,-0.20,125.85,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",259800,1,110.00,529.00,"Test","Ok",0,0,0,0.35,-115.97,1.09,-0.15,130.22,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",78625,1,110.00,530.00,"Test","Ok",0,0,0,0.36,-114.99,-0.10,-0.18,128.07,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",258926,1,110.00,531.00,"Test","Ok",0,0,0,0.37,-118.43,1.81,-0.13,143.88,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",247592,1,110.00,532.00,"Test","Ok",0,0,0,0.35,-118.39,2.71,-0.13,128.84,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",269677,1,110.00,533.00,"Test","Ok",0,0,0,0.36,-118.05,-0.95,-0.13,136.93,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1052805,1,110.00,534.00,"Test","Ok",0,0,0,0.39,-114.79,2.27,-0.12,129.18,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1049681,1,110.00,535.00,"Test","Ok",0,0,0,0.36,-113.96,2.36,-0.10,127.96,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",220784,1,110.00,536.00,"Test","Ok",0,0,0,0.35,-120.21,0.32,-0.13,130.78,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",72920,1,110.00,537.00,"Test","Ok",0,0,0,0.35,-119.47,-2.35,-0.15,129.99,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",133224,1,110.00,538.00,"Test","Ok",0,0,0,0.36,-117.15,0.94,-0.15,128.48,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",237531,1,110.00,539.00,"Test","Ok",0,0,0,0.37,-117.15,0.09,-0.12,127.33,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",88805,1,110.00,540.00,"Test","Ok",0,0,0,0.36,-115.74,-0.06,-0.14,134.88,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",243706,1,110.00,541.00,"Test","Ok",0,0,0,0.34,-115.50,1.30,-0.13,133.71,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",244290,1,110.00,542.00,"Test","Ok",0,0,0,0.36,-116.44,1.15,-0.11,129.99,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",248323,1,110.00,543.00,"Test","Ok",0,0,0,0.36,-117.09,3.08,-0.17,129.93,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",246298,1,110.00,544.00,"Test","Ok",0,0,0,0.36,-116.36,2.85,-0.16,127.19,"2.5.13","08/23/2022 14:53:56 UTC+05:30",1806993,"N/A","N/A"
