Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status,# nodes controlled on high Port,# nodes controlled on low Port
"SCI_508",112,N/A,N/A,"On","Ok",LineConfig_04/18/2022 13:16:39,External,"","22° 29' 40.02548"" N","88° 34' 55.83435"" E",12.03,0.00,1.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected",0,0
"CX_508",10249,N/A,N/A,"On","Ok",LineConfig_04/18/2022 13:16:39,From Gps,"","22° 29' 39.5723"" N","88° 34' 55.58716"" E",12.66,-0.00,1.00,0,"172.27.152.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected",4,4
