Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",1101935,1,110.00,613.00,"Test","Ok",0,0,0,0.36,-115.86,1.82,-0.06,144.61,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",211144,1,110.00,598.00,"Test","Ok",0,0,0,0.34,-116.70,0.92,-0.13,131.65,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",220969,1,110.00,599.00,"Test","Ok",0,0,0,0.34,-116.70,0.14,-0.11,138.89,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",214408,1,110.00,600.00,"Test","Ok",0,0,0,0.37,-117.64,3.34,-0.10,136.78,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1682397,1,110.00,601.00,"Test","Ok",0,0,0,0.35,-118.26,0.29,-0.12,128.24,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1686587,1,110.00,602.00,"Test","Ok",0,0,0,0.37,-115.26,-1.12,-0.12,128.34,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1798814,1,110.00,603.00,"Test","Ok",0,0,0,0.35,-115.73,-0.44,-0.11,124.38,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1798015,1,110.00,604.00,"Test","Ok",0,0,0,0.36,-116.22,0.19,-0.12,136.30,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1556628,1,110.00,605.00,"Test","Ok",0,0,0,0.36,-119.23,-1.10,-0.13,126.44,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1622575,1,110.00,606.00,"Test","Ok",0,0,0,0.36,-115.84,0.60,-0.13,144.49,"2.5.16","08/21/2022 13:03:19 UTC+05:30",1953576,"N/A","N/A"
