Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",2006796,1,110.00,561.00,"Test","Ok",0,0,0,0.37,-114.22,0.97,-0.13,138.76,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2049942,1,110.00,399.00,"Test","Ok",0,0,0,0.35,-116.92,1.14,-0.12,132.30,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2050410,1,110.00,398.00,"Test","Ok",0,0,0,0.35,-115.40,1.66,-0.13,135.21,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2050760,1,110.00,397.00,"Test","Ok",0,0,0,0.35,-117.07,4.48,-0.12,135.91,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1069505,1,110.00,396.00,"Test","Ok",0,0,0,0.37,-115.41,-1.94,-0.12,135.46,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",269396,1,110.00,395.00,"Test","Ok",0,0,0,0.36,-114.09,1.83,-0.14,144.82,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",262605,1,110.00,394.00,"Test","Ok",0,0,0,0.36,-117.33,-0.21,-0.16,127.94,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1040209,1,110.00,393.00,"Test","Ok",0,0,0,0.37,-116.00,1.08,-0.13,127.58,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2051838,1,110.00,392.00,"Test","Ok",0,0,0,0.36,-115.35,2.28,-0.12,139.11,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2050384,1,110.00,391.00,"Test","Ok",0,0,0,0.37,-114.65,1.96,-0.13,141.25,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2051952,1,110.00,390.00,"Test","Ok",0,0,0,0.37,-117.69,1.88,-0.11,132.38,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2049746,1,110.00,389.00,"Test","Ok",0,0,0,0.36,-115.98,2.91,-0.13,137.77,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1955748,1,110.00,388.00,"Test","Ok",0,0,0,0.35,-116.97,4.72,-0.11,139.67,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1956025,1,110.00,387.00,"Test","Ok",0,0,0,0.36,-116.45,4.47,-0.09,129.09,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1956026,1,110.00,386.00,"Test","Ok",0,0,0,0.35,-118.72,4.81,-0.10,153.16,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1955751,1,110.00,385.00,"Test","Ok",0,0,0,0.36,-119.23,5.05,-0.11,135.34,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2014299,1,110.00,400.00,"Test","Ok",0,0,0,0.36,-118.91,4.72,-0.12,131.24,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2011248,1,110.00,562.00,"Test","Ok",0,0,0,0.36,-116.26,-0.14,-0.13,126.03,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2006798,1,110.00,563.00,"Test","Ok",0,0,0,0.36,-115.24,0.32,-0.11,133.31,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2011250,1,110.00,564.00,"Test","Ok",0,0,0,0.37,-115.94,0.38,-0.13,133.12,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",109022,1,110.00,565.00,"Test","Ok",0,0,0,0.36,-115.74,2.67,-0.16,122.90,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",88580,1,110.00,566.00,"Test","Ok",0,0,0,0.35,-118.42,2.63,-0.18,129.33,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",98561,1,110.00,567.00,"Test","Ok",0,0,0,0.35,-115.97,0.20,-0.17,126.98,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",108182,1,110.00,568.00,"Test","Ok",0,0,0,0.35,-112.58,0.67,-0.14,146.25,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2011362,1,110.00,569.00,"Test","Ok",0,0,0,0.36,-116.86,0.37,-0.10,127.02,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2011366,1,110.00,570.00,"Test","Ok",0,0,0,0.37,-116.09,0.13,-0.12,133.58,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2011360,1,110.00,571.00,"Test","Ok",0,0,0,0.35,-114.06,-0.12,-0.12,129.76,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2006687,1,110.00,572.00,"Test","Ok",0,0,0,0.37,-116.69,0.17,-0.11,130.28,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1956547,1,110.00,573.00,"Test","Ok",0,0,0,0.35,-115.66,4.85,-0.12,132.44,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1955713,1,110.00,574.00,"Test","Ok",0,0,0,0.36,-117.73,4.63,-0.08,141.40,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1694116,1,110.00,575.00,"Test","Ok",0,0,0,0.37,-117.04,-0.60,-0.09,133.07,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1694124,1,110.00,576.00,"Test","Ok",0,0,0,0.36,-117.40,1.76,-0.12,130.90,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1708822,1,110.00,416.00,"Test","Ok",0,0,0,0.36,-117.35,0.56,-0.12,135.28,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",99750,1,110.00,431.00,"Test","Ok",0,0,0,0.35,-114.65,0.33,-0.16,136.97,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",92826,1,110.00,430.00,"Test","Ok",0,0,0,0.36,-118.75,0.94,-0.16,131.15,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",239147,1,110.00,429.00,"Test","Ok",0,0,0,0.34,-114.02,3.27,-0.15,129.55,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",146693,1,110.00,428.00,"Test","Ok",0,0,0,0.35,-113.95,0.80,-0.13,137.56,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",125064,1,110.00,427.00,"Test","Ok",0,0,0,0.35,-112.71,-0.25,-0.15,152.64,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",152029,1,110.00,426.00,"Test","Ok",0,0,0,0.35,-114.85,1.71,-0.12,135.87,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",147531,1,110.00,425.00,"Test","Ok",0,0,0,0.37,-114.78,0.50,-0.15,138.86,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",79951,1,110.00,424.00,"Test","Ok",0,0,0,0.35,-116.00,-0.88,-0.20,138.52,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",105521,1,110.00,423.00,"Test","Ok",0,0,0,0.35,-114.42,-0.68,-0.17,133.42,"2.5.16","08/21/2022 16:14:04 UTC+05:30",1953577,"N/A","N/A"
