Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status,Field Mode,# nodes controlled on high Port,# nodes controlled on low Port
"CX_508",850892,100.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 40.16281"" N","88° 34' 55.44983"" E",12.68,0.00,0.00,0,"172.16.1.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",4,0
"CX_508",1953571,100.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.87442"" N","88° 34' 55.72449"" E",12.47,-0.00,0.00,0,"172.27.152.0","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",8,60
"CX_508",1104808,110.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.66156"" N","88° 34' 55.77942"" E",12.52,-0.00,0.00,0,"172.27.152.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",60,8
"CX_508",1104805,110.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.75769"" N","88° 34' 55.75195"" E",12.82,-0.00,0.00,0,"172.16.0.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",0,4
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"","22° 29' 39.97742"" N","88° 34' 55.80688"" E",12.00,-0.00,0.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",0,0
