Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status
"CX_508",1104849,100.00,551.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.94995"" N","88° 34' 55.58716"" E",12.60,-0.00,0.00,0,"172.27.152.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",10120,100.00,559.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.72336"" N","88° 34' 55.55969"" E",12.99,0.00,0.00,0,"172.16.1.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",4014,110.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.75082"" N","88° 34' 55.58716"" E",12.59,-0.00,0.00,0,"172.27.152.0","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1104801,110.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.74396"" N","88° 34' 55.94421"" E",12.61,-0.00,0.00,0,"172.16.0.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"","22° 29' 40.02548"" N","88° 34' 55.83435"" E",12.01,-0.00,0.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
