Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",127242,1,110.00,600.00,"Test","Ok",0,0,0,0.37,-116.74,0.61,-0.13,122.36,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",135689,1,110.00,608.00,"Test","Ok",0,0,0,0.35,-114.46,1.22,-0.15,138.60,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",180566,1,110.00,607.00,"Test","Ok",0,0,0,0.37,-117.66,-0.33,-0.12,128.30,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",139700,1,110.00,606.00,"Test","Ok",0,0,0,0.37,-114.20,1.06,-0.16,140.62,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",123324,1,110.00,605.00,"Test","Ok",0,0,0,0.36,-114.22,0.65,-0.12,134.70,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",218543,1,110.00,604.00,"Test","Ok",0,0,0,0.34,-117.44,0.21,-0.12,132.33,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",213115,1,110.00,603.00,"Test","Ok",0,0,0,0.36,-118.97,3.31,-0.10,128.23,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",270372,1,110.00,602.00,"Test","Ok",0,0,0,0.35,-114.46,2.64,-0.15,139.43,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",269550,1,110.00,601.00,"Test","Ok",0,0,0,0.35,-116.51,-0.58,-0.15,138.74,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
"FDU_508",184430,1,110.00,609.00,"Test","Ok",0,0,0,0.36,-115.54,3.71,-0.15,131.74,"2.5.16","08/23/2022 12:06:17 UTC+05:30",1807000,"N/A","N/A"
