Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",76884,1,110.00,619.00,"Test","Ok",0,0,0,0.36,-119.60,-0.50,-0.17,134.33,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",75350,1,110.00,604.00,"Test","Ok",0,0,0,0.35,-117.00,-0.22,-0.17,128.74,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1926084,1,110.00,605.00,"Test","Ok",0,0,0,0.35,-114.19,-1.76,-0.11,134.75,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1926092,1,110.00,606.00,"Test","Ok",0,0,0,0.35,-117.24,-1.49,-0.11,136.83,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1926079,1,110.00,607.00,"Test","Ok",0,0,0,0.34,-116.63,-0.77,-0.12,128.39,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1926099,1,110.00,608.00,"Test","Ok",0,0,0,0.36,-117.18,-1.32,-0.12,128.17,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",171236,1,110.00,609.00,"Test","Ok",0,0,0,0.37,-117.01,2.51,-0.15,137.09,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",163279,1,110.00,610.00,"Test","Ok",0,0,0,0.35,-117.30,0.61,-0.17,128.81,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",173666,1,110.00,611.00,"Test","Ok",0,0,0,0.37,-116.39,-0.24,-0.14,132.59,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",174495,1,110.00,612.00,"Test","Ok",0,0,0,0.36,-119.60,-0.40,-0.10,135.06,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1925287,1,110.00,613.00,"Test","Ok",0,0,0,0.36,-115.61,-0.42,-0.12,128.97,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1460852,1,110.00,614.00,"Test","Ok",0,0,0,0.36,-117.51,-3.35,-0.11,129.63,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1464527,1,110.00,615.00,"Test","Ok",0,0,0,0.36,-119.06,0.23,-0.12,138.70,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1925945,1,110.00,616.00,"Test","Ok",0,0,0,0.36,-115.79,-0.80,-0.11,129.70,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",220765,1,110.00,617.00,"Test","Ok",0,0,0,0.35,-113.92,0.83,-0.16,135.91,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",238585,1,110.00,618.00,"Test","Ok",0,0,0,0.37,-116.25,0.73,-0.14,129.65,"2.5.16","08/21/2022 17:16:10 UTC+05:30",1953576,"N/A","N/A"
