Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status,Field Mode,# nodes controlled on high Port,# nodes controlled on low Port
"CX_508",1807008,110.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"",12.68,-0.00,0.00,0,"172.16.1.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",0,4
"CX_508",1806977,110.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Low,"",12.54,-0.00,0.00,0,"172.27.152.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",60,8
"CX_508",850805,100.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Low,"",12.50,0.00,0.00,0,"172.27.152.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",60,8
"CX_508",1806998,100.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"",12.59,0.00,0.00,0,"172.16.0.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",0,4
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"",11.99,-0.00,1.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected","Connected",0,0
