Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"","22° 29' 40.02548"" N","88° 34' 55.83435"" E",12.01,-0.00,0.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1953577,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.60663"" N","88° 34' 55.36743"" E",12.82,-0.00,0.00,0,"172.27.152.3","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806993,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.73709"" N","88° 34' 55.50476"" E",12.29,-0.00,0.00,0,"172.27.152.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806986,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,Not Synchronized,"","0° 00' 00.0"" N","0° 00' 00.0"" E",12.39,-0.00,0.00,0,"172.27.152.5","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1807002,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,Not Synchronized,"","34° 20' 19.82574"" N","137° 24' 04.15283"" E",12.59,-0.00,0.00,0,"172.27.152.0","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806992,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.85382"" N","88° 34' 55.3949"" E",12.49,-0.00,0.00,0,"172.27.152.4","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806984,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,Not Synchronized,"","21° 23' 44.89929"" N","112° 55' 57.14722"" E",12.63,-0.00,0.00,0,"172.27.152.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
