Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",75787,1,110.00,504.00,"Test","Ok",0,0,0,0.34,-112.34,0.36,-0.17,125.63,"2.5.16","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",227456,1,110.00,503.00,"Test","Ok",0,0,0,0.38,-115.45,1.05,-0.15,123.12,"2.5.16","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1035044,1,110.00,502.00,"Test","Ok",0,0,0,0.37,-114.84,3.15,-0.14,125.24,"2.5.16","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",175052,1,110.00,501.00,"Test","Ok",0,0,0,0.36,-118.94,2.18,-0.15,125.92,"2.5.16","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",95533,1,110.00,505.00,"Test","Ok",0,0,0,0.36,-115.62,0.99,-0.16,129.40,"2.5.13","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",76585,1,110.00,506.00,"Test","Ok",0,0,0,0.35,-119.21,-1.37,-0.15,132.21,"2.5.13","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",228285,1,110.00,507.00,"Test","Ok",0,0,0,0.36,-118.91,-0.40,-0.15,132.47,"2.5.13","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",218473,1,110.00,508.00,"Test","Ok",0,0,0,0.35,-116.53,3.02,-0.10,133.54,"2.5.13","08/24/2022 17:36:38 UTC+05:30",1806993,"N/A","N/A"
