Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",258303,1,110.00,517.00,"Test","Ok",0,0,0,0.36,-117.43,2.09,-0.12,143.30,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",190412,1,110.00,533.00,"Test","Ok",0,0,0,0.37,-113.80,0.14,-0.17,130.19,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",211705,1,110.00,528.00,"Test","Ok",0,0,0,0.37,-115.66,-0.43,-0.14,131.05,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",222329,1,110.00,527.00,"Test","Ok",0,0,0,0.36,-114.34,0.26,-0.11,131.72,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",271030,1,110.00,526.00,"Test","Ok",0,0,0,0.36,-115.15,-0.43,-0.14,131.12,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",271661,1,110.00,525.00,"Test","Ok",0,0,0,0.35,-115.18,-0.83,-0.14,130.66,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",211263,1,110.00,524.00,"Test","Ok",0,0,0,0.37,-117.44,1.30,-0.12,134.63,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",272152,1,110.00,523.00,"Test","Ok",0,0,0,0.36,-115.41,0.08,-0.14,133.02,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",181149,1,110.00,522.00,"Test","Ok",0,0,0,0.36,-117.49,-0.50,-0.14,137.61,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",190832,1,110.00,521.00,"Test","Ok",0,0,0,0.36,-117.05,1.08,-0.12,133.33,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",81483,1,110.00,520.00,"Test","Ok",0,0,0,0.35,-117.69,1.79,-0.19,128.98,"2.5.13","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",104059,1,110.00,519.00,"Test","Ok",0,0,0,0.37,-116.95,1.42,-0.16,127.23,"2.5.13","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",69918,1,110.00,518.00,"Test","Ok",0,0,0,0.36,-116.51,-0.04,-0.19,124.54,"2.5.13","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",140861,1,110.00,534.00,"Test","Ok",0,0,0,0.36,-115.08,0.66,-0.16,136.98,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",134003,1,110.00,516.00,"Test","Ok",0,0,0,0.36,-117.60,0.33,-0.13,138.76,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",136894,1,110.00,515.00,"Test","Ok",0,0,0,0.36,-115.74,0.67,-0.18,127.45,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",219773,1,110.00,514.00,"Test","Ok",0,0,0,0.35,-115.05,-0.13,-0.12,138.51,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",136733,1,110.00,513.00,"Test","Ok",0,0,0,0.37,-115.66,1.06,-0.13,135.04,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",390400,1,110.00,512.00,"Test","Ok",0,0,0,0.36,-114.70,0.66,-0.06,132.86,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",391190,1,110.00,511.00,"Test","Ok",0,0,0,0.36,-113.38,1.20,-0.04,133.07,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",388389,1,110.00,510.00,"Test","Ok",0,0,0,0.37,-114.06,-0.36,-0.09,138.86,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",389937,1,110.00,509.00,"Test","Ok",0,0,0,0.34,-113.81,0.23,-0.11,141.34,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",97200,1,110.00,504.00,"Test","Ok",0,0,0,0.35,-117.33,0.91,-0.17,127.99,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",245665,1,110.00,503.00,"Test","Ok",0,0,0,0.36,-118.36,3.59,-0.15,133.26,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",187559,1,110.00,502.00,"Test","Ok",0,0,0,0.35,-113.36,4.36,-0.19,134.50,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",248576,1,110.00,501.00,"Test","Ok",0,0,0,0.36,-116.56,3.81,-0.12,130.39,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",133152,1,110.00,551.00,"Test","Ok",0,0,0,0.37,-117.59,0.57,-0.15,136.83,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",85134,1,110.00,506.00,"Test","Ok",0,0,0,0.34,-118.35,0.67,-0.19,143.32,"2.5.13","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
"FDU_508",99880,1,110.00,546.00,"Test","Ok",0,0,0,0.35,-114.99,0.21,-0.14,141.96,"2.5.16","08/25/2022 15:51:51 UTC+05:30",10286,"N/A","N/A"
