Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",215663,1,110.00,501.00,"Test","Ok",0,0,0,0.36,-113.72,0.27,-0.12,135.32,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",216487,1,110.00,502.00,"Test","Ok",0,0,0,0.36,-114.79,0.38,-0.13,132.43,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",244226,1,110.00,503.00,"Test","Ok",0,0,0,0.36,-117.06,1.19,-0.14,136.53,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",216383,1,110.00,504.00,"Test","Ok",0,0,0,0.36,-118.43,0.61,-0.10,123.81,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",220691,1,110.00,505.00,"Test","Ok",0,0,0,0.35,-114.56,1.07,-0.12,129.72,"2.5.10","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1047008,1,110.00,506.00,"Test","Ok",0,0,0,0.39,-116.05,3.03,-0.11,134.13,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",189714,1,110.00,507.00,"Test","Ok",0,0,0,0.37,-114.16,0.76,-0.18,131.26,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",271916,1,110.00,508.00,"Test","Ok",0,0,0,0.36,-116.44,-0.60,-0.10,140.76,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1039419,1,110.00,509.00,"Test","Ok",0,0,0,0.43,-113.97,0.97,-0.11,134.01,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1039011,1,110.00,510.00,"Test","Ok",0,0,0,0.39,-114.70,0.66,-0.15,130.14,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",220260,1,110.00,511.00,"Test","Ok",0,0,0,0.36,-118.34,1.29,-0.12,135.45,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",262305,1,110.00,512.00,"Test","Ok",0,0,0,0.36,-116.05,0.72,-0.12,130.71,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1052197,1,110.00,513.00,"Test","Ok",0,0,0,0.39,-114.87,5.06,-0.12,125.88,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1039330,1,110.00,514.00,"Test","Ok",0,0,0,0.39,-116.73,2.30,-0.13,127.14,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1036632,1,110.00,515.00,"Test","Ok",0,0,0,0.38,-114.93,1.42,-0.17,129.41,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",68670,1,110.00,516.00,"Test","Ok",0,0,0,0.35,-117.42,0.51,-0.15,125.63,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",242658,1,110.00,517.00,"Test","Ok",0,0,0,0.35,-117.58,1.63,-0.12,126.32,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",234024,1,110.00,518.00,"Test","Ok",0,0,0,0.35,-116.01,-0.30,-0.19,138.07,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",224391,1,110.00,519.00,"Test","Ok",0,0,0,0.35,-115.13,1.22,-0.13,127.28,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
"FDU_508",1039397,1,110.00,520.00,"Test","Ok",0,0,0,0.38,-115.37,0.99,-0.14,130.37,"2.5.16","08/23/2022 14:41:03 UTC+05:30",1806981,"N/A","N/A"
