Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",148160,1,110.00,541.00,"Test","Ok",0,0,0,0.37,-116.68,0.95,-0.11,130.56,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",147225,1,110.00,383.00,"Test","Ok",0,0,0,0.36,-117.27,0.13,-0.15,129.87,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",132550,1,110.00,382.00,"Test","Ok",0,0,0,0.37,-115.55,0.66,-0.09,134.96,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",133044,1,110.00,381.00,"Test","Ok",0,0,0,0.36,-115.60,1.10,-0.14,134.84,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1705868,1,110.00,380.00,"Test","Ok",0,0,0,0.36,-117.61,-0.29,-0.12,139.60,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1806986,"N/A","N/A"
"FDU_508",1709406,1,110.00,379.00,"Test","Ok",0,0,0,0.37,-117.42,0.64,-0.12,135.48,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1806986,"N/A","N/A"
"FDU_508",1706980,1,110.00,378.00,"Test","Ok",0,0,0,0.37,-115.87,-0.30,-0.10,128.80,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1806986,"N/A","N/A"
"FDU_508",1705754,1,110.00,377.00,"Test","Ok",0,0,0,0.36,-116.33,-1.07,-0.09,132.43,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1806986,"N/A","N/A"
"FDU_508",215943,1,110.00,376.00,"Test","Ok",0,0,0,0.36,-117.99,0.80,-0.12,133.68,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1806986,"N/A","N/A"
"FDU_508",247045,1,110.00,375.00,"Test","Ok",0,0,0,0.36,-113.24,1.68,-0.14,127.33,"2.5.16","08/22/2022 13:21:44 UTC+05:30",1806986,"N/A","N/A"
