Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status
"CX_508",4671,100.00,551.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.77142"" N","88° 34' 55.50476"" E",12.61,-0.00,1.00,0,"172.27.152.0","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",10074,100.00,559.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.64783"" N","88° 34' 55.75195"" E",12.89,0.00,0.00,0,"172.16.0.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1104965,110.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.79202"" N","88° 34' 55.64209"" E",12.60,-0.00,0.00,0,"172.27.152.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",10085,110.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.78516"" N","88° 34' 55.64209"" E",12.68,0.00,1.00,0,"172.16.1.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"","22° 29' 40.02548"" N","88° 34' 55.83435"" E",12.01,-0.00,0.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
