Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",1795262,1,110.00,468.00,"Test","Ok",0,0,0,0.35,-116.83,0.16,-0.12,132.98,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1041961,1,110.00,606.00,"Test","Ok",0,0,0,0.39,-116.17,1.88,-0.14,134.65,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1041963,1,110.00,608.00,"Test","Ok",0,0,0,0.39,-115.36,-0.31,-0.13,128.41,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1042040,1,110.00,539.00,"Test","Ok",0,0,0,0.39,-117.04,0.91,-0.14,133.26,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1042611,1,110.00,532.00,"Test","Ok",0,0,0,0.41,-114.36,2.10,-0.13,133.01,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1042662,1,110.00,567.00,"Test","Ok",0,0,0,0.38,-115.32,1.91,-0.10,144.71,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1043114,1,110.00,538.00,"Test","Ok",0,0,0,0.37,-115.33,3.68,-0.12,136.55,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1043423,1,110.00,512.00,"Test","Ok",0,0,0,0.37,-114.95,3.32,-0.13,132.45,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1050048,1,110.00,573.00,"Test","Ok",0,0,0,0.37,-116.88,4.48,-0.10,134.66,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1050996,1,110.00,541.00,"Test","Ok",0,0,0,0.41,-112.15,3.72,-0.14,131.81,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1052676,1,110.00,540.00,"Test","Ok",0,0,0,0.39,-115.95,3.65,-0.15,124.57,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1052721,1,110.00,537.00,"Test","Ok",0,0,0,0.38,-117.11,3.26,-0.14,125.46,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1053219,1,110.00,531.00,"Test","Ok",0,0,0,0.38,-115.67,2.04,-0.12,138.78,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1794593,1,110.00,466.00,"Test","Ok",0,0,0,0.35,-115.12,0.24,-0.10,126.33,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1794596,1,110.00,467.00,"Test","Ok",0,0,0,0.37,-113.58,1.30,-0.13,130.25,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1794867,1,110.00,465.00,"Test","Ok",0,0,0,0.35,-117.13,-0.04,-0.12,138.58,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1041603,1,110.00,574.00,"Test","Ok",0,0,0,0.40,-115.66,1.59,-0.12,134.61,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2008600,1,110.00,596.00,"Test","Ok",0,0,0,0.35,-114.32,-0.54,-0.11,138.33,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2008909,1,110.00,595.00,"Test","Ok",0,0,0,0.37,-116.20,-0.04,-0.12,132.60,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2012023,1,110.00,384.00,"Test","Ok",0,0,0,0.37,-116.89,-1.08,-0.10,126.54,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2012210,1,110.00,458.00,"Test","Ok",0,0,0,0.37,-114.35,2.69,-0.11,136.81,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2013337,1,110.00,593.00,"Test","Ok",0,0,0,0.36,-115.77,3.68,-0.13,137.49,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2013339,1,110.00,594.00,"Test","Ok",0,0,0,0.35,-115.25,4.68,-0.12,126.14,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",94083,1,110.00,525.00,"Test","Ok",0,0,0,0.35,-114.29,0.30,-0.14,128.02,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",94151,1,110.00,526.00,"Test","Ok",0,0,0,0.36,-115.00,0.73,-0.18,128.05,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",97273,1,110.00,527.00,"Test","Ok",0,0,0,0.37,-115.94,1.79,-0.16,125.92,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",102160,1,110.00,528.00,"Test","Ok",0,0,0,0.36,-117.35,-0.39,-0.18,151.61,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",238302,1,110.00,545.00,"Test","Ok",0,0,0,0.36,-115.70,0.27,-0.18,128.57,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",193664,1,110.00,546.00,"Test","Ok",0,0,0,0.36,-117.49,0.18,-0.12,128.06,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",223881,1,110.00,547.00,"Test","Ok",0,0,0,0.36,-115.59,2.38,-0.10,133.61,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",243197,1,110.00,548.00,"Test","Ok",0,0,0,0.36,-117.53,0.55,-0.12,137.75,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",188700,1,110.00,553.00,"Test","Ok",0,0,0,0.36,-117.44,-0.76,-0.16,129.68,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",428126,1,110.00,457.00,"Test","Ok",0,0,0,0.36,-116.30,-5.00,-0.12,132.93,"2.4.5","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",261026,1,110.00,624.00,"Test","Ok",0,0,0,0.36,-114.65,1.33,-0.09,124.96,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",262259,1,110.00,611.00,"Test","Ok",0,0,0,0.35,-116.91,0.69,-0.12,136.66,"2.4.1","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",262333,1,110.00,441.00,"Test","Ok",0,0,0,0.36,-116.13,1.07,-0.13,135.00,"2.4.1","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",263485,1,110.00,519.00,"Test","Ok",0,0,0,0.35,-118.31,0.11,-0.12,132.39,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",269558,1,110.00,582.00,"Test","Ok",0,0,0,0.35,-117.79,-0.46,-0.13,125.14,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",270170,1,110.00,533.00,"Test","Ok",0,0,0,0.35,-117.70,2.44,-0.15,144.76,"2.4.1","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",270775,1,110.00,517.00,"Test","Ok",0,0,0,0.36,-117.02,0.26,-0.14,126.02,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",270878,1,110.00,581.00,"Test","Ok",0,0,0,0.36,-116.86,1.77,-0.14,130.53,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",271065,1,110.00,622.00,"Test","Ok",0,0,0,0.36,-118.50,2.38,-0.10,145.15,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",271359,1,110.00,617.00,"Test","Ok",0,0,0,0.36,-116.44,0.83,-0.12,133.47,"2.4.1","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",271490,1,110.00,374.00,"Test","Ok",0,0,0,0.35,-116.25,2.28,-0.12,127.01,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",271672,1,110.00,518.00,"Test","Ok",0,0,0,0.36,-115.17,0.48,-0.13,142.66,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",271874,1,110.00,396.00,"Test","Ok",0,0,0,0.35,-117.97,0.34,-0.15,126.72,"2.4.1","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",272385,1,110.00,583.00,"Test","Ok",0,0,0,0.35,-112.57,0.12,-0.14,125.32,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",272472,1,110.00,621.00,"Test","Ok",0,0,0,0.37,-114.97,0.87,-0.16,127.55,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",188660,1,110.00,554.00,"Test","Ok",0,0,0,0.35,-116.99,-0.34,-0.17,126.46,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",442934,1,110.00,498.00,"Test","Ok",0,0,0,0.36,-118.48,-0.39,-0.16,126.56,"2.4.5","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",473255,1,110.00,511.00,"Test","Ok",0,0,0,0.38,-112.22,-4.13,-0.15,124.57,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",803262,1,110.00,391.00,"Test","Ok",0,0,0,0.38,-115.02,-0.08,-0.14,127.15,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",827192,1,110.00,605.00,"Test","Ok",0,0,0,0.35,-110.81,-5.28,-0.11,136.69,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",993842,1,110.00,544.00,"Test","Ok",0,0,0,0.37,-113.56,1.19,-0.12,132.80,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1034662,1,110.00,452.00,"Test","Ok",0,0,0,0.38,-114.70,3.04,-0.09,130.45,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1035062,1,110.00,509.00,"Test","Ok",0,0,0,0.38,-112.89,1.67,-0.12,136.15,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1038069,1,110.00,530.00,"Test","Ok",0,0,0,0.38,-112.59,2.69,-0.12,134.01,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1039678,1,110.00,575.00,"Test","Ok",0,0,0,0.38,-116.98,1.18,-0.10,128.19,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1039742,1,110.00,576.00,"Test","Ok",0,0,0,0.44,-114.44,1.64,-0.12,133.01,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1040135,1,110.00,392.00,"Test","Ok",0,0,0,0.40,-116.12,0.33,-0.12,130.83,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1040195,1,110.00,529.00,"Test","Ok",0,0,0,0.39,-116.35,1.66,-0.13,128.22,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1040222,1,110.00,565.00,"Test","Ok",0,0,0,0.38,-114.99,2.81,-0.14,130.43,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1041569,1,110.00,543.00,"Test","Ok",0,0,0,0.37,-113.26,2.91,-0.14,123.98,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1041602,1,110.00,393.00,"Test","Ok",0,0,0,0.42,-115.28,3.45,-0.13,133.77,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",263145,1,110.00,577.00,"Test","Ok",0,0,0,0.36,-119.02,0.90,-0.12,129.93,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",189647,1,110.00,414.00,"Test","Ok",0,0,0,0.37,-118.87,0.04,-0.14,166.31,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",184448,1,110.00,413.00,"Test","Ok",0,0,0,0.36,-113.05,3.42,-0.18,134.19,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",146590,1,110.00,400.00,"Test","Ok",0,0,0,0.36,-116.23,0.62,-0.15,143.12,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",148707,1,110.00,399.00,"Test","Ok",0,0,0,0.36,-114.80,0.40,-0.12,127.81,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",146506,1,110.00,398.00,"Test","Ok",0,0,0,0.38,-116.26,0.47,-0.12,127.90,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",146774,1,110.00,397.00,"Test","Ok",0,0,0,0.36,-115.12,1.46,-0.17,133.83,"2.5.16","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",127503,1,110.00,383.00,"Test","Ok",0,0,0,0.36,-116.38,1.91,-0.13,137.95,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",125377,1,110.00,382.00,"Test","Ok",0,0,0,0.37,-115.22,0.06,-0.15,141.27,"2.5.10","08/21/2022 09:42:53 UTC+05:30",1806992,"N/A","N/A"
