Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",2025630,1,110.00,606.00,"Test","Ok",0,0,0,0.36,-115.72,3.24,-0.14,129.01,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024916,1,110.00,605.00,"Test","Ok",0,0,0,0.35,-117.14,2.58,-0.13,135.66,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024917,1,110.00,614.00,"Test","Ok",0,0,0,0.36,-112.39,2.20,-0.13,139.98,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024918,1,110.00,613.00,"Test","Ok",0,0,0,0.36,-115.84,2.21,-0.14,131.88,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024919,1,110.00,616.00,"Test","Ok",0,0,0,0.36,-116.22,2.43,-0.13,132.16,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025124,1,110.00,383.00,"Test","Ok",0,0,0,0.36,-117.46,3.02,-0.13,128.85,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2025237,1,110.00,608.00,"Test","Ok",0,0,0,0.36,-115.00,3.56,-0.13,129.06,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025238,1,110.00,607.00,"Test","Ok",0,0,0,0.37,-116.31,3.93,-0.13,134.72,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025272,1,110.00,564.00,"Test","Ok",0,0,0,0.38,-119.17,4.68,-0.14,128.65,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025274,1,110.00,563.00,"Test","Ok",0,0,0,0.36,-115.31,4.55,-0.14,129.72,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025275,1,110.00,562.00,"Test","Ok",0,0,0,0.37,-115.91,3.86,-0.14,147.77,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025278,1,110.00,561.00,"Test","Ok",0,0,0,0.37,-116.48,4.76,-0.14,128.68,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025518,1,110.00,503.00,"Test","Ok",0,0,0,0.36,-115.29,4.09,-0.13,125.39,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2025528,1,110.00,378.00,"Test","Ok",0,0,0,0.35,-115.00,4.38,-0.14,151.08,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2025529,1,110.00,377.00,"Test","Ok",0,0,0,0.36,-115.44,3.84,-0.13,129.19,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2025628,1,110.00,615.00,"Test","Ok",0,0,0,0.36,-116.19,3.06,-0.14,132.96,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024904,1,110.00,504.00,"Test","Ok",0,0,0,0.37,-118.18,5.19,-0.13,140.41,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2025689,1,110.00,594.00,"Test","Ok",0,0,0,0.36,-115.97,3.49,-0.13,145.24,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025690,1,110.00,596.00,"Test","Ok",0,0,0,0.36,-117.36,3.60,-0.15,141.33,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2049544,1,110.00,626.00,"Test","Ok",0,0,0,0.36,-114.30,2.82,-0.12,132.88,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2049546,1,110.00,628.00,"Test","Ok",0,0,0,0.35,-117.07,3.30,-0.14,131.80,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2050261,1,110.00,619.00,"Test","Ok",0,0,0,0.37,-109.89,2.22,-0.15,129.93,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2052164,1,110.00,627.00,"Test","Ok",0,0,0,0.36,-116.69,2.14,-0.11,132.57,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2052166,1,110.00,625.00,"Test","Ok",0,0,0,0.36,-116.03,2.30,-0.13,138.78,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2052455,1,110.00,622.00,"Test","Ok",0,0,0,0.37,-117.99,2.46,-0.13,129.28,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2052594,1,110.00,591.00,"Test","Ok",0,0,0,0.36,-114.52,1.86,-0.13,137.65,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2052696,1,110.00,624.00,"Test","Ok",0,0,0,0.36,-116.83,2.85,-0.12,126.12,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",2053652,1,110.00,597.00,"Test","Ok",0,0,0,0.35,-116.43,3.09,-0.13,128.13,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",130808,1,110.00,505.00,"Test","Ok",0,0,0,0.35,-116.08,0.67,-0.15,126.57,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",130487,1,110.00,506.00,"Test","Ok",0,0,0,0.37,-116.53,0.18,-0.14,140.57,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",130560,1,110.00,507.00,"Test","Ok",0,0,0,0.37,-113.94,0.74,-0.13,144.15,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",109010,1,110.00,508.00,"Test","Ok",0,0,0,0.35,-115.66,0.05,-0.15,127.32,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013582,1,110.00,600.00,"Test","Ok",0,0,0,0.35,-114.47,2.78,-0.12,133.76,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2013300,1,110.00,530.00,"Test","Ok",0,0,0,0.36,-115.21,4.33,-0.13,138.32,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013309,1,110.00,589.00,"Test","Ok",0,0,0,0.36,-115.38,3.69,-0.13,143.32,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2013371,1,110.00,544.00,"Test","Ok",0,0,0,0.37,-117.40,3.79,-0.12,141.76,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013405,1,110.00,532.00,"Test","Ok",0,0,0,0.36,-116.99,3.40,-0.11,130.48,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013406,1,110.00,565.00,"Test","Ok",0,0,0,0.36,-116.76,2.80,-0.12,131.65,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2013407,1,110.00,529.00,"Test","Ok",0,0,0,0.36,-116.19,3.39,-0.12,129.35,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013420,1,110.00,522.00,"Test","Ok",0,0,0,0.37,-117.43,2.99,-0.12,133.67,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013423,1,110.00,523.00,"Test","Ok",0,0,0,0.36,-115.96,3.45,-0.12,136.16,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013445,1,110.00,524.00,"Test","Ok",0,0,0,0.36,-116.42,2.61,-0.12,136.80,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013447,1,110.00,521.00,"Test","Ok",0,0,0,0.36,-116.74,2.58,-0.11,151.03,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013471,1,110.00,543.00,"Test","Ok",0,0,0,0.36,-117.76,2.92,-0.13,131.07,"2.5.16","08/20/2022 16:24:32 UTC+05:30",10079,"N/A","N/A"
"FDU_508",2013525,1,110.00,566.00,"Test","Ok",0,0,0,0.37,-115.62,3.10,-0.12,131.04,"2.5.16","08/20/2022 16:24:32 UTC+05:30",1807002,"N/A","N/A"
