Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",1040969,1,110.00,394.00,"Test","Ok",0,0,0,0.40,-117.49,2.87,-0.14,138.07,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1009219,1,110.00,383.00,"Test","Ok",0,0,0,0.38,-114.19,1.46,-0.14,138.26,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1021533,1,110.00,381.00,"Test","Ok",0,0,0,0.39,-116.41,2.59,-0.14,138.20,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1035194,1,110.00,395.00,"Test","Ok",0,0,0,0.35,-114.26,1.82,-0.12,136.68,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1038809,1,110.00,623.00,"Test","Ok",0,0,0,0.38,-114.92,1.41,-0.14,141.03,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1039052,1,110.00,442.00,"Test","Ok",0,0,0,0.40,-117.71,1.84,-0.16,126.59,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1039203,1,110.00,597.00,"Test","Ok",0,0,0,0.41,-112.39,1.44,-0.11,140.83,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1039453,1,110.00,622.00,"Test","Ok",0,0,0,0.38,-111.46,1.87,-0.12,135.91,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1039461,1,110.00,624.00,"Test","Ok",0,0,0,0.39,-116.92,0.96,-0.10,132.69,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1039467,1,110.00,396.00,"Test","Ok",0,0,0,0.45,-113.49,2.95,-0.12,136.43,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1039732,1,110.00,441.00,"Test","Ok",0,0,0,0.38,-114.94,3.28,-0.13,139.13,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1039767,1,110.00,551.00,"Test","Ok",0,0,0,0.39,-114.50,1.32,-0.12,136.31,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1040052,1,110.00,617.00,"Test","Ok",0,0,0,0.39,-115.41,0.72,-0.16,133.32,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1040448,1,110.00,521.00,"Test","Ok",0,0,0,0.38,-115.36,2.21,-0.17,138.35,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1040480,1,110.00,385.00,"Test","Ok",0,0,0,0.38,-115.12,2.11,-0.15,123.09,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1040620,1,110.00,393.00,"Test","Ok",0,0,0,0.39,-115.38,2.23,-0.12,136.34,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1008087,1,110.00,550.00,"Test","Ok",0,0,0,0.39,-116.51,0.01,-0.13,145.78,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1041062,1,110.00,606.00,"Test","Ok",0,0,0,0.36,-114.13,2.54,-0.14,134.51,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1041612,1,110.00,501.00,"Test","Ok",0,0,0,0.40,-116.66,2.60,-0.13,132.50,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1041622,1,110.00,503.00,"Test","Ok",0,0,0,0.41,-117.06,2.24,-0.12,134.38,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1041930,1,110.00,487.00,"Test","Ok",0,0,0,0.39,-117.11,2.65,-0.14,144.07,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1042180,1,110.00,486.00,"Test","Ok",0,0,0,0.37,-115.80,2.19,-0.17,136.92,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1042288,1,110.00,504.00,"Test","Ok",0,0,0,0.37,-114.49,1.45,-0.16,128.10,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1042985,1,110.00,605.00,"Test","Ok",0,0,0,0.38,-112.26,2.39,-0.15,129.65,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1044809,1,110.00,579.00,"Test","Ok",0,0,0,0.38,-114.98,3.64,-0.12,132.69,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1049519,1,110.00,466.00,"Test","Ok",0,0,0,0.38,-114.65,3.20,-0.13,138.63,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1049782,1,110.00,444.00,"Test","Ok",0,0,0,0.38,-112.87,2.72,-0.12,153.74,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1050367,1,110.00,530.00,"Test","Ok",0,0,0,0.39,-115.12,3.45,-0.13,134.56,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1051442,1,110.00,485.00,"Test","Ok",0,0,0,0.37,-112.12,3.25,-0.12,132.93,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1052023,1,110.00,488.00,"Test","Ok",0,0,0,0.40,-114.36,2.99,-0.12,135.23,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",1052056,1,110.00,621.00,"Test","Ok",0,0,0,0.39,-116.42,3.01,-0.14,135.79,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953577,"N/A","N/A"
"FDU_508",1053367,1,110.00,388.00,"Test","Ok",0,0,0,0.37,-113.54,1.85,-0.11,124.92,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",270737,1,110.00,609.00,"Test","Ok",0,0,0,0.35,-115.65,-0.12,-0.13,133.42,"2.4.1","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",260692,1,110.00,425.00,"Test","Ok",0,0,0,0.37,-117.31,0.79,-0.12,136.29,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",261170,1,110.00,387.00,"Test","Ok",0,0,0,0.36,-116.05,0.41,-0.09,124.76,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",261861,1,110.00,575.00,"Test","Ok",0,0,0,0.36,-115.54,1.40,-0.11,127.28,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",262016,1,110.00,419.00,"Test","Ok",0,0,0,0.36,-116.79,1.30,-0.16,127.10,"2.4.1","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",262519,1,110.00,572.00,"Test","Ok",0,0,0,0.36,-116.47,0.83,-0.14,130.35,"2.5.1","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",263193,1,110.00,465.00,"Test","Ok",0,0,0,0.36,-115.83,0.58,-0.17,141.36,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",264297,1,110.00,438.00,"Test","Ok",0,0,0,0.35,-114.16,-0.33,-0.12,126.40,"2.5.1","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",269424,1,110.00,549.00,"Test","Ok",0,0,0,0.35,-117.51,3.13,-0.12,128.01,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",269698,1,110.00,382.00,"Test","Ok",0,0,0,0.37,-112.33,-0.85,-0.14,132.50,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",269708,1,110.00,422.00,"Test","Ok",0,0,0,0.36,-114.77,0.16,-0.14,135.52,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",270157,1,110.00,434.00,"Test","Ok",0,0,0,0.37,-115.72,-0.80,-0.13,136.76,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",270185,1,110.00,378.00,"Test","Ok",0,0,0,0.35,-114.64,0.09,-0.14,134.54,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",270309,1,110.00,379.00,"Test","Ok",0,0,0,0.36,-116.86,-0.63,-0.13,130.26,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",270423,1,110.00,377.00,"Test","Ok",0,0,0,0.36,-117.80,0.11,-0.15,131.46,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",270615,1,110.00,589.00,"Test","Ok",0,0,0,0.36,-116.16,-0.04,-0.14,131.20,"2.5.16","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1066251,1,110.00,529.00,"Test","Ok",0,0,0,0.36,-114.20,0.24,-0.10,133.34,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",270747,1,110.00,443.00,"Test","Ok",0,0,0,0.37,-114.97,0.76,-0.13,136.21,"2.5.10","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",270899,1,110.00,577.00,"Test","Ok",0,0,0,0.35,-113.51,2.71,-0.13,132.49,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",271028,1,110.00,571.00,"Test","Ok",0,0,0,0.36,-115.22,2.37,-0.16,131.59,"2.4.1","08/20/2022 15:32:55 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",271079,1,110.00,435.00,"Test","Ok",0,0,0,0.36,-113.55,-0.11,-0.18,137.60,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",271226,1,110.00,460.00,"Test","Ok",0,0,0,0.36,-116.87,-0.86,-0.11,123.47,"2.4.1","08/20/2022 15:32:55 UTC+05:30",10079,"N/A","N/A"
"FDU_508",271499,1,110.00,421.00,"Test","Ok",0,0,0,0.36,-112.73,1.15,-0.16,130.92,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",271742,1,110.00,384.00,"Test","Ok",0,0,0,0.35,-115.37,2.37,-0.15,128.19,"2.5.10","08/20/2022 15:32:55 UTC+05:30",1806992,"N/A","N/A"
