Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",179869,1,110.00,468.00,"Test","Ok",0,0,0,0.37,-116.04,-0.58,-0.15,124.45,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2013967,1,110.00,611.00,"Test","Ok",0,0,0,0.36,-115.70,2.51,-0.13,139.29,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2013972,1,110.00,609.00,"Test","Ok",0,0,0,0.36,-119.34,3.24,-0.13,128.37,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024964,1,110.00,620.00,"Test","Ok",0,0,0,0.35,-115.31,5.28,-0.12,129.95,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2024982,1,110.00,617.00,"Test","Ok",0,0,0,0.36,-113.82,4.58,-0.12,139.60,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025308,1,110.00,618.00,"Test","Ok",0,0,0,0.37,-115.00,4.37,-0.11,125.60,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2025311,1,110.00,619.00,"Test","Ok",0,0,0,0.37,-115.80,4.92,-0.13,125.64,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",2049891,1,110.00,376.00,"Test","Ok",0,0,0,0.37,-114.68,2.55,-0.13,131.64,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",2012729,1,110.00,500.00,"Test","Ok",0,0,0,0.36,-114.94,2.69,-0.11,126.73,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2012402,1,110.00,499.00,"Test","Ok",0,0,0,0.36,-114.57,1.29,-0.12,128.03,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2012398,1,110.00,498.00,"Test","Ok",0,0,0,0.36,-118.05,0.33,-0.10,133.77,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2012731,1,110.00,497.00,"Test","Ok",0,0,0,0.37,-115.84,2.69,-0.12,127.87,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",89188,1,110.00,472.00,"Test","Ok",0,0,0,0.35,-116.93,0.12,-0.16,131.03,"2.5.16","08/20/2022 14:49:35 UTC+05:30",1806993,"N/A","N/A"
