Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",1048944,1,110.00,493.00,"Test","Ok",0,0,0,0.38,-114.43,2.46,-0.13,144.32,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1034805,1,110.00,494.00,"Test","Ok",0,0,0,0.39,-114.99,3.13,-0.12,126.18,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1049576,1,110.00,495.00,"Test","Ok",0,0,0,0.38,-117.49,2.13,-0.13,145.29,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1052627,1,110.00,496.00,"Test","Ok",0,0,0,0.43,-112.71,3.10,-0.12,123.45,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1051800,1,110.00,497.00,"Test","Ok",0,0,0,0.38,-114.53,2.61,-0.15,126.30,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",221412,1,110.00,498.00,"Test","Ok",0,0,0,0.36,-116.39,1.57,-0.15,129.10,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1053537,1,110.00,499.00,"Test","Ok",0,0,0,0.40,-115.03,2.92,-0.12,129.78,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1069635,1,110.00,500.00,"Test","Ok",0,0,0,0.38,-114.68,-0.92,-0.10,132.79,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1953589,"N/A","N/A"
"FDU_508",1039049,1,110.00,501.00,"Test","Ok",0,0,0,0.38,-116.74,3.41,-0.13,138.59,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",1039685,1,110.00,502.00,"Test","Ok",0,0,0,0.38,-116.06,2.62,-0.12,129.75,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",1035041,1,110.00,503.00,"Test","Ok",0,0,0,0.39,-115.39,1.49,-0.14,133.63,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",1050735,1,110.00,504.00,"Test","Ok",0,0,0,0.39,-116.73,1.09,-0.11,139.73,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",250767,1,110.00,505.00,"Test","Ok",0,0,0,0.36,-116.02,2.60,-0.12,133.30,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",101092,1,110.00,506.00,"Test","Ok",0,0,0,0.36,-117.35,0.29,-0.12,137.28,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",95747,1,110.00,507.00,"Test","Ok",0,0,0,0.35,-117.79,1.32,-0.12,135.33,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
"FDU_508",79375,1,110.00,508.00,"Test","Ok",0,0,0,0.35,-116.65,-2.56,-0.18,131.63,"2.5.16","08/23/2022 12:28:32 UTC+05:30",1806996,"N/A","N/A"
